Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,AC Primary Load,AC Primary Load Served,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Capacity Shortage,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Lead Acid [ASM] Maximum Charge Power,Generic 1kWh Lead Acid [ASM] Maximum Discharge Power,Generic 1kWh Lead Acid [ASM] Charge Power,Generic 1kWh Lead Acid [ASM] Discharge Power,Generic 1kWh Lead Acid [ASM] Input Power,Generic 1kWh Lead Acid [ASM] Energy Content,Generic 1kWh Lead Acid [ASM] State of Charge,Generic 1kWh Lead Acid [ASM] Energy Cost,Generic 1kWh Lead Acid [ASM] Temperature,Generic 1kWh Lead Acid [ASM] Degradation - Time and Temperature,Generic 1kWh Lead Acid [ASM] Degradation - Cycling,Generic 1kWh Lead Acid [ASM] Equivalent Cycles,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity,New Appliance Load,Available Capacity ,Available Capacity After New Load,New Unmet Load,Battery Consumption by new Appliance,Original Battery Energy Content Delta, New Battery Energy Content ,Total Unmet Load,,
,kW/m2,Â°,Â°,Â°,kW/m2,kW,kW,kW,kW,%,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kWh,%,$/kWh,C,%,%,cycles,kW,kW,kW,kW,kW,kW,kW,kW,kW,kWh, kWh ,kW,,
1/1/07 0:00,0,0,14.16723,90,0,0,0.5575708,0.5575708,0.5575708,0,0,0,0,0,0.619523,0.5575708,0,0,0,23.01865,0,0.619523,-0.619523,56.47244,98.82189,0,20,0.000136417,0,0,0.6133279,0,0,23.01865,0,27.39207,27.39207,0,0,0, 56.472 ,0,,Necessary Calculations
1/1/07 1:00,0,0,-21.59657,90,0,0,0.5575708,0.5575708,0.5575708,0,0,0,0,0,0.619523,0.5575708,0,0,0.5957174,22.49716,0,0.619523,-0.619523,55.79913,97.64378,0,20,0.000272834,0,0,0.6133279,0,0,22.49716,0,26.71876,26.71876,0,0,-0.67331, 55.799 ,0,,Optional Calculations
1/1/07 2:00,0,0,-45.3577,90,0,0,0.5575708,0.5575708,0.5575708,0,0,0,0,0,0.619523,0.5575708,0,0,1.147493,21.97319,0,0.619523,-0.619523,55.12581,96.46565,0,20,0.000409251,0,0,0.6133279,0,0,21.97319,0,26.04544,26.04544,0,0,-0.67332, 55.126 ,0,,Data Input
1/1/07 3:00,0,0,-57.16284,90,0,0,0.5575708,0.5575708,0.5575708,0,0,0,0,0,0.619523,0.5575708,0,0,1.685445,21.44673,0,0.619523,-0.619523,54.45249,95.28754,0,20,0.000545669,0,0,0.6133279,0,0,21.44673,0,25.37212,25.37212,0,0,-0.67332, 54.452 ,0,,Important Homer Data
1/1/07 4:00,0,0,-63.0527,90,0,0,0.5575708,0.5575708,0.5575708,0,0,0,0,0,0.619523,0.5575708,0,0,2.219738,20.91778,0,0.619523,-0.619523,53.77917,94.10941,0,20,0.000682086,0,0,0.6133279,0,0,20.91778,0,24.6988,24.6988,0,0,-0.67332, 53.779 ,0,,
1/1/07 5:00,0,0,-65.92255,90,0,0,0.8363562,0.8363562,0.8363562,0,1.11022E-16,0,0,0,0.9292846,0.8363562,0,0,2.753805,20.38633,0,0.9292846,-0.9292846,52.76817,92.34037,0,20,0.000818503,0,0,0.9199917,0,0,20.38633,0,23.6878,23.6878,0,0,-1.011, 52.768 ,0,,
1/1/07 6:00,0.000242635,0,-66.93063,90,0,0,1.393927,1.393927,1.393927,0,2.22045E-16,0,0,0,1.548808,1.393927,0,0,3.592693,19.58367,0,1.548808,-1.548808,51.07976,89.38589,0,20,0.00095492,0,0,1.53332,0,0,19.58367,0,21.99939,21.99939,0,0,-1.68841, 51.080 ,0,,
1/1/07 7:00,0.05142311,7.886332,-66.46732,81.5673,0.05156241,0.4949991,1.951498,1.951498,1.951498,25.36509,2.22045E-16,0,0,0.4949991,1.618332,1.456499,0,0,5.025447,18.23065,0,1.618332,-1.618332,49.31516,86.29808,0,20,0.001091337,0,0,2.270397,0,0.4949991,18.23065,0,20.23479,20.23479,0,0,-1.7646, 49.315 ,0,,
1/1/07 8:00,0.1255373,21.54285,-64.46274,67.87047,0.1256217,1.205968,2.230283,2.230283,2.230283,54.07244,2.22045E-16,0,0,1.205968,1.138127,1.024315,0,0,6.483128,16.79982,0,1.138127,-1.138127,48.07611,84.12995,0,20,0.001227754,0,0,2.754803,0,1.205968,16.79982,0,18.99574,18.99574,0,0,-1.23905, 48.076 ,0,,
1/1/07 9:00,0.2489648,34.85659,-60.35693,54.47294,0.2492521,2.39282,2.230283,2.230283,2.230283,107.2877,0,0,0,2.39282,0,0,0.1625368,0.1381563,7.444111,15.78493,0.1381563,0,0.1381563,48.20343,84.35287,0,20,0.001364171,0,0,3.051516,0,2.39282,15.78493,0,19.12306,19.12306,0,0,0.12732, 48.203 ,0,,
1/1/07 10:00,0.05524126,47.4143,-52.72977,41.76561,0.0552386,0.5302905,2.230283,2.230283,2.230283,23.77683,2.22045E-16,0,0,0.5302905,1.88888,1.699992,0,0,7.181073,15.88965,0,1.88888,-1.88888,46.14199,80.7456,0,20,0.001500588,5.76744E-05,0.002380023,2.585884,0,0.5302905,15.88965,0,17.06162,17.06162,0,0,-2.06144, 46.142 ,0,,
1/1/07 11:00,0.04392233,58.23289,-38.41462,30.70167,0.04391902,0.4216226,2.230283,2.230283,2.230283,18.90444,0,0,0,0.4216226,2.009623,1.80866,0,0,9.041141,14.18388,0,2.009623,-2.009623,43.94791,76.90619,0,20,0.001637005,5.76744E-05,0.002380023,2.558717,0,0.4216226,14.18388,0,14.86754,14.86754,0,0,-2.19408, 43.948 ,0,,
1/1/07 12:00,0.2750915,64.89711,-12.7241,23.76508,0.2751299,2.641247,2.230283,2.230283,2.230283,118.4265,0,0,0,2.641247,0,0,0.4109637,0.3493192,10.9221,12.34269,0.3493192,0,0.3493192,44.26965,77.46933,0,20,0.001773423,5.76744E-05,0.002380023,3.113623,0,2.641247,12.34269,0,15.18928,15.18928,0,0,0.32174, 44.270 ,0,,
1/1/07 13:00,0.2485398,63.96823,19.51446,24.74128,0.2485684,2.386257,2.230283,2.230283,2.230283,106.9935,0,0,0,2.386257,0,0,0.1559738,0.1325777,10.41031,12.61438,0.1325777,0,0.1325777,44.39184,77.68326,0,20,0.00190984,5.76744E-05,0.002380023,3.049875,0,2.386257,12.61438,0,15.31147,15.31147,0,0,0.12219, 44.392 ,0,,
1/1/07 14:00,0.1059757,56.06611,42.43284,32.93176,0.1059746,1.017356,2.230283,2.230283,2.230283,45.61557,2.22045E-16,0,0,1.017356,1.347696,1.212927,0,0,10.24836,12.71743,0,1.347696,-1.347696,42.92363,75.11408,0,20,0.002046257,0.000256042,0.01056596,2.70765,0,1.017356,12.71743,0,13.84326,13.84326,0,0,-1.46821, 42.924 ,0,,
1/1/07 15:00,0.06106472,44.71935,54.85736,44.50124,0.06106267,0.5862016,2.230283,2.230283,2.230283,26.28373,0,0,0,0.5862016,1.826757,1.644081,0,0,11.61355,11.4742,0,1.826757,-1.826757,40.9304,71.62612,0,20,0.002182674,0.000256042,0.01056596,2.599862,0,0.5862016,11.4742,0.426334426,11.85003,11.42369557,0,0.426334426,-1.99323, 40.504 ,0,,
1/1/07 16:00,0.1404177,31.93781,61.50652,57.41506,0.1404529,1.348348,2.509068,2.509068,2.509068,53.73899,2.22045E-16,0,0,1.348348,1.289689,1.16072,0,0,13.38277,9.767418,0,1.289689,-1.289689,39.52565,69.16798,0,20,0.002319091,0.000256042,0.01056596,3.097062,0,1.348348,9.767418,0.426334426,10.44528,10.01894557,0,0.426334426,-1.40475, 38.673 ,0,,
1/1/07 17:00,0.09222897,18.52234,65.06167,70.9032,0.09228018,0.8858897,2.787854,2.787854,2.787854,31.77676,0,0,0,0.8858897,2.113293,1.901964,0,0,14.5337,8.551452,0,2.113293,-2.113293,37.21759,65.12907,0,20,0.002455508,0.000256042,0.01056596,3.288112,0,0.8858897,8.551452,0.426334426,8.13722,7.710885574,0,0.426334426,-2.30806, 35.939 ,0,,
1/1/07 18:00,0.0538121,4.822209,66.69482,84.63567,0.0556346,0.5340921,3.345425,3.345425,3.345425,15.96485,0,0,0,0.5340921,3.123703,2.811332,0,0,16.5754,6.529998,0,3.123703,-3.123703,33.79454,59.13898,0,20,0.002591925,0.000256042,0.01056596,3.81349,0,0.5340921,6.529998,0.426334426,4.71417,4.287835574,0,0.426334426,-3.42305, 32.089 ,0,,
1/1/07 19:00,0,0,66.83922,90,0,0,3.345425,3.130293,3.130293,0,0,0.2151317,0.5496742,0,3.478103,3.130293,0,0,18.97576,3.478103,0,3.478103,-3.478103,29.97862,52.46135,0,20,0.002728342,0.000256042,0.01056596,3.679967,0,0,3.478103,0.426334426,0.89825,0.471915574,0,0.426334426,-3.81592, 27.847 ,0.2151317,,
