datetime,hour_of_year,day,hour_of_day,day_hour,kw_factor,grain_factor,kw
1/1/18 0:00,0,0mon,0,0mon_00,0,0,0
1/1/18 1:00,1,0mon,1,0mon_01,0,0,0.426334426
1/1/18 2:00,2,0mon,2,0mon_02,0,0,0.426334426
1/1/18 3:00,3,0mon,3,0mon_03,0,0,0.426334426
1/1/18 4:00,4,0mon,4,0mon_04,0,0,0.426334426
1/1/18 5:00,5,0mon,5,0mon_05,13.4036,13.4036,0.426334426
1/1/18 6:00,6,0mon,6,0mon_06,5.22882,5.22882,0
1/1/18 7:00,7,0mon,7,0mon_07,9.3153,9.3153,0
1/1/18 8:00,8,0mon,8,0mon_08,0,0,0
1/1/18 9:00,9,0mon,9,0mon_09,0.009,0.009,0
1/1/18 10:00,10,0mon,10,0mon_10,0,0,0
1/1/18 11:00,11,0mon,11,0mon_11,0,0,0
1/1/18 12:00,12,0mon,12,0mon_12,136.70808,136.70808,0
1/1/18 13:00,13,0mon,13,0mon_13,30.25044,30.25044,0
1/1/18 14:00,14,0mon,14,0mon_14,0,0,0
1/1/18 15:00,15,0mon,15,0mon_15,0,0,0
1/1/18 16:00,16,0mon,16,0mon_16,0,0,0
1/1/18 17:00,17,0mon,17,0mon_17,0,0,0
1/1/18 18:00,18,0mon,18,0mon_18,0,0,0
1/1/18 19:00,19,0mon,19,0mon_19,0,0,0
1/1/18 20:00,20,0mon,20,0mon_20,0,0,0
1/1/18 21:00,21,0mon,21,0mon_21,0,0,0
1/1/18 22:00,22,0mon,22,0mon_22,0,0,0
1/1/18 23:00,23,0mon,23,0mon_23,0,0,0
1/2/18 0:00,24,1tue,0,1tue_00,0,0,0
1/2/18 1:00,25,1tue,1,1tue_01,0,0,0.426334426
1/2/18 2:00,26,1tue,2,1tue_02,0,0,0.426334426
1/2/18 3:00,27,1tue,3,1tue_03,49.37656,49.37656,0.426334426
1/2/18 4:00,28,1tue,4,1tue_04,52.64144,52.64144,0.426334426
1/2/18 5:00,29,1tue,5,1tue_05,0.009,0.009,0.426334426
1/2/18 6:00,30,1tue,6,1tue_06,85.66304,85.66304,0
1/2/18 7:00,31,1tue,7,1tue_07,26.87568,26.87568,0
1/2/18 8:00,32,1tue,8,1tue_08,0,0,0
1/2/18 9:00,33,1tue,9,1tue_09,0,0,0
1/2/18 10:00,34,1tue,10,1tue_10,0,0,0
1/2/18 11:00,35,1tue,11,1tue_11,0,0,0
1/2/18 12:00,36,1tue,12,1tue_12,144.56036,144.56036,0
1/2/18 13:00,37,1tue,13,1tue_13,120.57474,120.57474,0
1/2/18 14:00,38,1tue,14,1tue_14,0,0,0
1/2/18 15:00,39,1tue,15,1tue_15,0,0,0
1/2/18 16:00,40,1tue,16,1tue_16,0,0,0
1/2/18 17:00,41,1tue,17,1tue_17,0,0,0
1/2/18 18:00,42,1tue,18,1tue_18,0,0,0
1/2/18 19:00,43,1tue,19,1tue_19,0,0,0
1/2/18 20:00,44,1tue,20,1tue_20,0,0,0
1/2/18 21:00,45,1tue,21,1tue_21,0,0,0
1/2/18 22:00,46,1tue,22,1tue_22,0,0,0
1/2/18 23:00,47,1tue,23,1tue_23,0,0,0.852668852
1/3/18 0:00,48,2wed,0,2wed_00,0,0,0.852668852
1/3/18 1:00,49,2wed,1,2wed_01,0,0,0.852668852
1/3/18 2:00,50,2wed,2,2wed_02,11.56396,11.56396,0.852668852
1/3/18 3:00,51,2wed,3,2wed_03,0,0,0.852668852
1/3/18 4:00,52,2wed,4,2wed_04,0,0,0
1/3/18 5:00,53,2wed,5,2wed_05,0,0,0
1/3/18 6:00,54,2wed,6,2wed_06,0,0,0
1/3/18 7:00,55,2wed,7,2wed_07,0,0,0
1/3/18 8:00,56,2wed,8,2wed_08,0,0,0
1/3/18 9:00,57,2wed,9,2wed_09,0,0,0
1/3/18 10:00,58,2wed,10,2wed_10,0,0,0
1/3/18 11:00,59,2wed,11,2wed_11,80.8,80.8,0
1/3/18 12:00,60,2wed,12,2wed_12,254.02164,254.02164,0
1/3/18 13:00,61,2wed,13,2wed_13,58.55496,58.55496,0
1/3/18 14:00,62,2wed,14,2wed_14,0,0,0
1/3/18 15:00,63,2wed,15,2wed_15,0,0,0
1/3/18 16:00,64,2wed,16,2wed_16,0,0,0
1/3/18 17:00,65,2wed,17,2wed_17,0,0,0
1/3/18 18:00,66,2wed,18,2wed_18,0,0,0
1/3/18 19:00,67,2wed,19,2wed_19,0,0,0
1/3/18 20:00,68,2wed,20,2wed_20,0,0,0
1/3/18 21:00,69,2wed,21,2wed_21,0,0,0
1/3/18 22:00,70,2wed,22,2wed_22,0,0,0
1/3/18 23:00,71,2wed,23,2wed_23,0,0,0
1/4/18 0:00,72,3thu,0,3thu_00,0,0,0
1/4/18 1:00,73,3thu,1,3thu_01,0,0,0
1/4/18 2:00,74,3thu,2,3thu_02,0,0,0
1/4/18 3:00,75,3thu,3,3thu_03,0.009,0.009,0
1/4/18 4:00,76,3thu,4,3thu_04,0,0,0
1/4/18 5:00,77,3thu,5,3thu_05,2.04502,2.04502,0
1/4/18 6:00,78,3thu,6,3thu_06,0,0,0
1/4/18 7:00,79,3thu,7,3thu_07,0,0,0
1/4/18 8:00,80,3thu,8,3thu_08,0,0,0
1/4/18 9:00,81,3thu,9,3thu_09,33.2126,33.2126,0
1/4/18 10:00,82,3thu,10,3thu_10,34.88648,34.88648,0
1/4/18 11:00,83,3thu,11,3thu_11,59.7892,59.7892,0
1/4/18 12:00,84,3thu,12,3thu_12,0,0,0
1/4/18 13:00,85,3thu,13,3thu_13,97.92252,97.92252,0
1/4/18 14:00,86,3thu,14,3thu_14,0,0,0
1/4/18 15:00,87,3thu,15,3thu_15,0,0,0
1/4/18 16:00,88,3thu,16,3thu_16,0,0,0
1/4/18 17:00,89,3thu,17,3thu_17,0,0,0
1/4/18 18:00,90,3thu,18,3thu_18,0,0,0
1/4/18 19:00,91,3thu,19,3thu_19,0,0,0
1/4/18 20:00,92,3thu,20,3thu_20,0,0,0
1/4/18 21:00,93,3thu,21,3thu_21,0,0,0
1/4/18 22:00,94,3thu,22,3thu_22,0,0,0
1/4/18 23:00,95,3thu,23,3thu_23,0,0,0
1/5/18 0:00,96,4fri,0,4fri_00,0,0,0
1/5/18 1:00,97,4fri,1,4fri_01,0,0,0.426334426
1/5/18 2:00,98,4fri,2,4fri_02,17.11352,17.11352,0.426334426
1/5/18 3:00,99,4fri,3,4fri_03,72.65764,72.65764,0.426334426
1/5/18 4:00,100,4fri,4,4fri_04,33.89188,33.89188,0.426334426
1/5/18 5:00,101,4fri,5,4fri_05,0,0,0.426334426
1/5/18 6:00,102,4fri,6,4fri_06,16.83966,16.83966,0
1/5/18 7:00,103,4fri,7,4fri_07,0,0,0
1/5/18 8:00,104,4fri,8,4fri_08,0,0,0
1/5/18 9:00,105,4fri,9,4fri_09,0,0,0
1/5/18 10:00,106,4fri,10,4fri_10,0,0,0
1/5/18 11:00,107,4fri,11,4fri_11,0,0,0
1/5/18 12:00,108,4fri,12,4fri_12,224.38374,224.38374,0
